Aff,Neg,Judges,Votes,Win
Gonzaga DZ,Houston LL,"Hannah Call																																						Tripp Rebrovick																																						Matthew Moore","Aff																															Neg																															Aff","2-1																															AFF"
Samford JR,Liberty DS,"Mikaela Malsin																																						Judd Kimball																																						Nate Martin","Neg																															Neg																															Neg","3-0																															NEG"
Liberty DM,Gonzaga MM,"Anthony Ogbuli																																						Quaram Robinson																																						A J","Aff																															Neg																															Aff","2-1																															AFF"
Michigan AH,,,Aff BYE,Aff BYE
Miguel Molina Chavez,,,Aff BYE,Aff BYE
Liberty JP,,,Aff BYE,Aff BYE
Trinity DW,,,Aff BYE,Aff BYE
Meg Petersen,,,Aff BYE,Aff BYE
