Aff,Neg,Judges,Votes,Win
Johnson County Community BB,Michigan MM,"Ruby Klein																																						Nathan Davis																																						David Bernstein","Aff																															Aff																															Neg","2-1																															AFF"
UC Berkeley EE,Harvard AF,"Brian DeLong																																						Nate Graziano																																						Julia Henry","Neg																															Neg																															Neg","3-0																															NEG"
Harvard OY,Southern California SK,"Kenny Delph																																						Amber Kelsie																																						Vida Chiri","Neg																															Neg																															Neg","3-0																															NEG"
Kansas MaSo,Liberty CR,"Corey Fisher																																						Reed Van Schenck																																						A J","Neg																															Neg																															Neg","3-0																															NEG"
Liberty RW,Kansas BR,"Brian Klarman																																						V Keenan																																						Thomas Buttgereit","Neg																															Neg																															Neg","3-0																															NEG"
Minnesota PR,Harvard BH,"Mikaela Malsin																																						Judd Kimball																																						Christopher Callahan","Neg																															Aff																															Neg","2-1																															NEG"
Dartmouth SV,Michigan HM,"Anthony Ogbuli																																						Geoff Lundeen																																						Andrew Allsup","Aff																															Aff																															Aff","3-0																															AFF"
Emory GK,Georgetown LM,"Jacinda Rivas																																						Dallas Perkins																																						Ned Gidley","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth BC,Nick Loew,"Nathan Rothenbaum																																						Brett Bricker																																						Brandon Kelley","Aff																															Aff																															Aff","3-0																															AFF"
Baylor TW,Emory HM,"Joe Skoog																																						Lincoln Garrett																																						David Kilpatrick","Aff																															Neg																															Neg","2-1																															NEG"
Harvard AH,Texas DK,"Jesse Smith																																						Kevin Hirn																																						Sean Kennedy","Aff																															Neg																															Neg","2-1																															NEG"
Dartmouth HM,Samford EG,"Rebecca Steiner																																						Danielle O'Gorman																																						Michael Klinger","Neg																															Neg																															Neg","3-0																															NEG"
Michigan PS,Northwestern DF,"Johnnie Stupek																																						Genevieve Hackman																																						Gabriel Morbeck","Neg																															Neg																															Neg","3-0																															NEG"
Emory PR,Kansas MS,"Raam Tambe																																						Ian Dill																																						Stephen Pipkin","Neg																															Neg																															Neg","3-0																															NEG"
Michigan PR,Trinity NM,"Tyler Thur																																						Lee Quinn																																						Douglas Husic","Aff																															Aff																															Aff","3-0																															AFF"
David Griffith,Kentucky BD,,Aff BYE,Aff BYE
