Aff,Neg,Judges,Votes,Win
James Madison Ortiz & Pelletier,Cornell Butler & Dickerson,"Maggie Solice																																						Marge Strong																																						Kurt Fifelski","Aff																															Neg																															Aff","2-1																															AFF"
George Mason Bhurtel & Yalch,NYU Ku & Li,"Devane Murphy																																						Raam Tambe																																						James Allan","Neg																															Neg																															Neg","3-0																															NEG"
Boston College McNabb & Wachsmuth,Liberty Berry & Horne,"Martin Osborn																																						Lauren Pepper																																						Brett Bricker","Aff																															Aff																															Aff","3-0																															AFF"
Indiana Chatpunnarangsee & Vidali,Houston/New School Rehman & Kaase,"Caitlin Walrath																																						Anthony Trufanov																																						Valerie McIntosh","Neg																															Neg																															Neg","3-0																															NEG"
