Aff,Neg,Judges,Votes,Win,"Aff								Points","Neg								Points"
Emory WP,Kansas RS,"Eliza Buckner																																						Gabe Lewis																																						Carlos Astacio","Neg																															Neg																															Neg","3-0																															NEG",,
Georgetown ZZ,Kansas MP,"Ana Bittner																																						Niko Sims																																						Josiah Ferguson","Neg																															Neg																															Neg","3-0																															NEG","KZaidi																																																												29.8																																								29.4																																								0.0																																																																																								ZZinober																																																												29.7																																								29.3																																								0.0","JMarshall																																																												29.9																																								29.5																																								0.0																																																																																								JPark																																																												30.0																																								29.6																																								0.0"
