Aff,Neg,Judges,Votes,Win
Kansas HS,Kentucky AD,"Johnnie Stupek																																						Brian Klarman																																						Joe Weideman","Aff																															Aff																															Aff","3-0																															AFF"
Texas AD,Wyoming LP,"Alex Marban																																						Brandon Stras																																						Andrew Allsup","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State GM,George Mason LR,"Jeff Buntin																																						Richard Garner																																						Clayton Engelby","Aff																															Aff																															Neg","2-1																															AFF"
Georgetown KW,Emory PS,"Nick Ryan																																						Azja Butler																																						Hannah Call","Neg																															Aff																															Aff","2-1																															AFF"
Michigan IS,Liberty PW,"Bruce Najor																																						Benjamin Morbeck																																						Brett Bricker","Aff																															Neg																															Neg","2-1																															NEG"
Michigan State GK,Georgetown CS,"Gabriel Morbeck																																						Dillon Johnson																																						Jackie Poapst","Neg																															Neg																															Aff","2-1																															NEG"
Kansas SeMa,Wake Forest BM,"Mikaela Malsin																																						Shuntà Jordan																																						Ronald Stevenson","Aff																															Aff																															Aff","3-0																															AFF"
Emory PW,Kansas WY,"Jason Regnier																																						Nathan Rothenbaum																																						Jack Booth","Aff																															Neg																															Neg","2-1																															NEG"
Pennsylvania/Northeastern ER,Emory HL,"Heather Hall																																						Lee Quinn																																						Kathleen Rock","Neg																															Aff																															Neg","2-1																															NEG"
Minnesota JP,Gonzaga RW,"Ryan Galloway																																						Nick Lepp																																						Armands Revelins","Neg																															Aff																															Neg","2-1																															NEG"
Wake Forest BD,,,,
Emory GK,,,,
Kansas PP,,,,
Northwestern DW,,,,
Michigan MS,,,,
Kentucky GK,,,,
