Aff,Neg,Judges,Votes,Win
Wake Forest BD,Gonzaga RW,"Azja Butler																																						James Allan																																						Andrew Allsup","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SeMa,Northwestern DW,"Brandon Kelley																																						Johnnie Stupek																																						John Katsulas","Aff																															Neg																															Neg","2-1																															NEG"
Georgetown CS,Michigan MS,"Brian Klarman																																						Nick Ryan																																						Joe Weideman","Neg																															Neg																															Neg","3-0																															NEG"
Liberty PW,Kentucky GK,"Adam Lee																																						Bryce Rao																																						Nathan Rothenbaum","Neg																															Aff																															Neg","2-1																															NEG"
Kansas HS,Georgetown KW,"Bruce Najor																																						Matthew Granstrom																																						Eric Morris","Aff																															Neg																															Neg","2-1																															NEG"
Michigan State GM,Texas AD,"Alex Marban																																						Benjamin Morbeck																																						Jackie Poapst","Neg																															Neg																															Neg","3-0																															NEG"
Emory GK,Emory HL,,Emory GK advances,Emory GK advances
Kansas PP,Kansas WY,,Kansas PP advances,Kansas PP advances
