Aff,Neg,Judges,Votes,Win
New School CO,Indiana MF,"Emily Bosch																																						Matt Liu																																						Addison Wagner","Neg																															Neg																															Neg","3-0																															NEG"
George Mason RS,Samford HH,"William Repko																																						Tyler Thur																																						Marge Strong","Neg																															Aff																															Neg","2-1																															NEG"
Navy MR,George Mason PR,"Michael Hall																																						Matthew Granstrom																																						Anthony Trufanov","Neg																															Neg																															Neg","3-0																															NEG"
Houston CL,George Mason SR,"Justin Green																																						Bryce Rao																																						Brian DeLong","Neg																															Neg																															Neg","3-0																															NEG"
Mary Washington BH,Samford EK,"Danielle O'Gorman																																						Eric Morris																																						Pavan Reddy","Aff																															Aff																															Aff","3-0																															AFF"
Liberty ST,Liberty BL,,Liberty ST advances,Liberty ST advances
Samford CF,,,,
Houston RJ,,,,
