Aff,Neg,Judges,Votes,Win
Northwestern Agbede & Rubin,Baylor Hudson & Darwish,"Dustyn Beutelspacher																																						Lindsey Shook																																						Brian DeLong","Aff																															Aff																															Aff","3-0																															AFF"
Macalester Price & Kochel,Kentucky McBlain & Adam,"Kurt Fifelski																																						Tim Freehan																																						Jeff Buntin","Neg																															Neg																															Aff","2-1																															NEG"
Michigan Shih & Gao,UTD Sendejas & Karthik,"Ned Gidley																																						Shree Awsare																																						Jamie Davenport","Aff																															Aff																															Neg","2-1																															AFF"
Northwestern Deo & Chuang,Iowa Cavanaugh & Anderson McElligott,"Valerie McIntosh																																						Jason Regnier																																						Nigel Taylor-Ward","Aff																															Aff																															Aff","3-0																															AFF"
