Aff,Neg,Judges,Votes,Win
Liberty DM,George Mason PV,"Vincent Li																																						Derek Hilligoss																																						Grant Colquitt","Neg																															Neg																															Neg","3-0																															NEG"
George Mason GP,Liberty JP,"Matt Gerber																																						Sohail Jouya																																						Lenny Herrera","Aff																															Neg																															Aff","2-1																															AFF"
