Aff,Neg,Judges,Votes,Win
United States Military BD,George Mason GP,"Matt Gerber																																						James Mollison																																						kate Marin","Neg																															Neg																															Neg","3-0																															NEG"
Liberty DM,Liberty DS,,Liberty DM advances,Liberty DM advances
George Mason PV,,,,
Liberty JP,,,,
