Aff,Neg,Judges,Votes,Win
Samford RT,Northwestern OW,"Douglas Husic																																						Molly Martin																																						Matt Stannard","Aff																															Aff																															Aff","3-0																															AFF"
Wayne State MR,Gonzaga DR,"Elizabeth Bennett																																						Spencer Roetlin																																						Geoff Lundeen","Neg																															Neg																															Neg","3-0																															NEG"
