Aff,Neg,Judges,Votes,Win
Kansas RM,UC Berkeley BT,"Adrienne Brovero																																						Johnnie Stupek																																						Carly Wunderlich","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest LS,Harvard GY,"Lawson Hudson																																						Azja Butler																																						Ryan Cavanaugh","Aff																															Neg																															Neg","2-1																															NEG"
Dartmouth BC,Kansas HP,"Nicolas Juarez																																						Brandon Kelley																																						Spencer Roetlin","Neg																															Aff																															Aff","2-1																															AFF"
Northwestern PS,Michigan BP,"Justin Green																																						Sam Gustavson																																						Allegro Wang","Neg																															Neg																															Neg","3-0																															NEG"
Binghamton TC,Kentucky AM,"Travis Cochran																																						Corey Fisher																																						Colin Quinn","Neg																															Neg																															Aff","2-1																															NEG"
Emory LY,Georgetown CW,"Anthony Trufanov																																						Kevin McCaffrey																																						Kevin Hirn","Neg																															Neg																															Neg","3-0																															NEG"
Emory GH,Kansas WH,"Rafael Pierry																																						William Repko																																						Jeff Buntin","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest BM,Kansas LS,"Devane Murphy																																						Tripp Rebrovick																																						Kristiana Baez","Neg																															Aff																															Aff","2-1																															AFF"
