Aff,Neg,Judges,Votes,Win
Southern Nazarene HC,Kansas HB,"Anthony Trufanov																																						Ana Bittner																																						Arvind Shankar","Aff																															Neg																															Neg","2-1																															NEG"
Missouri State EG,Kansas AB,"Adrienne Brovero																																						William Repko																																						Carly Wunderlich","Neg																															Neg																															Neg","3-0																															NEG"
Michigan AL,Iowa SK,"Lauren Johnson																																						Joshua Michael																																						Jyleesa Hampton","Neg																															Neg																															Neg","3-0																															NEG"
Minnesota UW,,,Aff BYE,Aff BYE
