Aff,Neg,Judges,Votes,Win
West Georgia DK - ONLINE,Kansas RM,"Grace Kessler																																						Storm Lasseter																																						Nick Fleming","Neg																															Neg																															Neg","3-0																															NEG"
Harvard GY,UTD KP,"John Turner																																						Kwudjwa Osei																																						Derek Hilligoss","Aff																															Aff																															Neg","2-1																															AFF"
Emory GY,Dartmouth BC,"Rafael Pierry																																						Kevin Hirn																																						Brandon Kelley","Neg																															Neg																															Neg","3-0																															NEG"
Michigan BP,Emory CP,"Nick Loew																																						Christopher Callahan																																						Tyler Vergho","Aff																															Aff																															Aff","3-0																															AFF"
Michigan SS,Binghamton TC,"Peyton Reeves																																						Colin Quinn																																						Alaina Walberg","Neg																															Neg																															Aff","2-1																															NEG"
Georgia IP,Georgetown CW,"Zahir Shaikh																																						Viveth Karthikeyan																																						DJ Williams","Neg																															Neg																															Aff","2-1																															NEG"
Michigan State GL,Emory GH,"Young Kwon																																						Brett Bricker																																						Jeff Buntin","Neg																															Neg																															Aff","2-1																															NEG"
Kansas LS,Dartmouth CW,"Kristopher Wallen																																						Nicolas Juarez																																						Spencer Roetlin","Neg																															Aff																															Aff","2-1																															AFF"
Northwestern DR,Wake Forest BM,"Johnnie Stupek																																						Mikaela Malsin																																						Gabe Lewis","Neg																															Neg																															Aff","2-1																															NEG"
Kansas WH,CSU Long Beach OM,"Devane Murphy																																						Kurt Fifelski																																						Dimarvin Puerto","Aff																															Neg																															Aff","2-1																															AFF"
Michigan State MM,Emory LY,"David Griffith																																						Bryce Rao																																						AJ Byrne","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown RS,Kentucky AM,"Gabriel Morbeck																																						Aaron Kall																																						Kevin McCaffrey","Neg																															Neg																															Neg","3-0																															NEG"
Emory MR,Northwestern PS,"Mark Kivimaki																																						Dustin Meyers-Levy																																						Jenny Vazquez Torres","Neg																															Neg																															Aff","2-1																															NEG"
Kansas HP,Wake Forest CS,"Deven Cooper																																						Squid Monteith																																						Oge Ogbogu","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest LS,Kansas WW - HYBRID,"Corey Fisher																																						Jeff Nagel																																						Tyler Snelling","Aff																															Neg																															Aff","2-1																															AFF"
UC Berkeley BT,Iowa PA,"Eric Lanning																																						Justin Green																																						Julian Kuffour","Aff																															Aff																															Aff","3-0																															AFF"
