Aff,Neg,Judges,Votes,Win
Minnesota HU,Baylor DL,"Holden Bukowsky																																						Kristopher Wallen																																						Dustyn Beutelspacher","Neg																															Neg																															Neg","3-0																															NEG"
Minnesota PW,Kansas BW,"Kristiana Baez																																						Bobby Phillips																																						Jared DeMunbrun","Neg																															Neg																															Neg","3-0																															NEG"
