Aff,Neg,Judges,Votes,Win
Houston AL,George Mason BG,"Hamza Jamal																																						Dustin Meyers-Levy																																						Kelly Skoulikaris","Aff																															Aff																															Aff","3-0																															AFF"
Liberty CK,George Mason CO,"Devane Murphy																																						Jesse Smith																																						Nathan Rothenbaum","Neg																															Neg																															Neg","3-0																															NEG"
