Aff,Neg,Judges,Votes,Win
Kentucky AM,Macalester PK,"Abhis Sedhai																																						Gabe Lewis																																						Sherry Hall																																						Henry Mitchell																																						Brett Bricker","Neg																															Aff																															Aff																															Aff																															Aff","4-1																															AFF"
Binghamton TC,Emory LY,"Ali Abdulla																																						Alex McVey																																						Jared Burke																																						Vontrez White																																						Colin Quinn","Neg																															Aff																															Aff																															Aff																															Aff","4-1																															AFF"
Kansas MR,Emory KP,"Dustyn Beutelspacher																																						Zidao Wang																																						Addison Wagner																																						Rishi Mukherjee																																						David Sposito","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Michigan State MM - ONLINE,Northwestern DR,"David Griffith																																						Brandon Kelley																																						Jimin Park																																						Kevin Hirn																																						Aaron Kall","Neg																															Neg																															Neg																															Aff																															Neg","4-1																															NEG"
Michigan BP,Michigan State GL - ONLINE,"Scott Phillips																																						Bobby Phillips																																						Simon Weiss																																						Owen Phoenix-Flood																																						Joey Tarnowski","Aff																															Aff																															Aff																															Aff																															Neg","4-1																															AFF"
West Georgia DK,Georgetown CS,"Ari Davidson																																						Dustin Meyers-Levy																																						Allegro Wang																																						Beau Larsen																																						Marge Strong","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Dartmouth BC,Michigan SS,"Erik Mathis																																						Bruce Najor																																						William Repko																																						Jordan Di																																						Spencer Roetlin","Aff																															Aff																															Neg																															Neg																															Aff","3-2																															AFF"
Wake Forest BM,Northwestern PS,"Devane Murphy																																						Will Baker																																						Michael Hester																																						Jason Regnier																																						Kwudjwa Osei","Neg																															Neg																															Neg																															Aff																															Aff","3-2																															NEG"
