Aff,Neg,Judges,Votes,Win
United States Military FG,George Mason NA,"Maverick Edwards																																						Jared DeMunbrun																																						Justice Wallenmeyer","Neg																															Aff																															Neg","2-1																															NEG"
Southwestern FS - ONLINE,United States Military MC,"Jaysyn Green																																						Hannah Phelps																																						Kaine Cherry","Aff																															Aff																															Aff","3-0																															AFF"
Louisville NJ - ONLINE,George Mason CE,"Neil Butt																																						Corey Fisher																																						Julian Kuffour","Neg																															Neg																															Aff","2-1																															NEG"
Liberty HY,Liberty FG,"Jaysyn Green																																						Hannah Phelps																																						Kaine Cherry","Aff																															Aff																															Aff","3-0																															AFF"
