Aff,Neg,Judges,Votes,Win
Binghamton TC,Kansas MR,"Jackie Poapst																																						Hunter McCullough																																						Kristopher Wallen","Aff																															Neg																															Aff","2-1																															AFF"
Michigan BP,Kentucky AM,"Jeff Buntin																																						Viveth Karthikeyan																																						Gabriel Morbeck","Aff																															Aff																															Aff","3-0																															AFF"
