Aff,Neg,Judges,Votes,Win
Texas AB,Macalester WP,"Taylor Brough																																						Kenny Delph																																						Noah Graham																																						Kristiana Baez																																						Jesse Smith","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Wichita State HP - ONLINE,West Georgia FK,"Eliza Buckner																																						Chris Loghry																																						Jason Regnier																																						Sydney Pasquinelli																																						Shree Awsare","Aff																															Neg																															Neg																															Neg																															Neg","4-1																															NEG"
Wichita State BB - ONLINE,Pittsburgh RS,"Anthony Ogbuli																																						Shae Bunas																																						Grant Colquitt																																						Vida Chiri																																						Cecilia Cerja","Aff																															Neg																															Neg																															Neg																															Neg","4-1																															NEG"
Samford TG,Kentucky GK,"Christopher Callahan																																						Jeff Buntin																																						Nina Fridman																																						Brett Bricker																																						Zahir Shaikh","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Baylor BL,Kansas SP,"William Coltzer																																						Caitlin Walrath																																						Flynn Makuch																																						Joe Weideman																																						Rob Glass","Aff																															Neg																															Neg																															Neg																															Neg","4-1																															NEG"
Kansas BS,Kentucky GD,"Deven Cooper																																						Kurt Fifelski																																						Nathan Fleming																																						Nathan Rothenbaum																																						Becca Steiner","Neg																															Neg																															Neg																															Aff																															Aff","3-2																															NEG"
Dartmouth BC - ONLINE,Northwestern SS,"Corey Fisher																																						Nate Graziano																																						Scott Harris																																						Azja Butler																																						Julian Kuffour","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Wake Forest LT,Wyoming LP,"Nicolas Juarez																																						Erik Mathis																																						LaToya Green","Neg																															Neg																															Neg","3-0																															NEG"
Wayne State MR,Michigan MS,"David Kilpatrick																																						Geoff Lundeen																																						Brian Klarman																																						Andrew Leong																																						Manny Navarrete","Neg																															Neg																															Neg																															Neg																															Aff","4-1																															NEG"
Iowa CE,Northwestern CP,"Alex Marban																																						Matt Liu																																						Ruby Klein																																						Lindsey Shook																																						Devane Murphy","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Binghamton SM,Emory PW,"Jeff Nagel																																						Kevin Clarke																																						Jack Booth																																						Eric Morris																																						Reed Van Schenck","Neg																															Neg																															Aff																															Neg																															Neg","4-1																															NEG"
West Georgia CL,GMU LR,"Tripp Rebrovick																																						Molly Martin																																						Derek Hilligoss																																						Armands Revelins																																						Jyleesa Hampton","Aff																															Aff																															Neg																															Neg																															Neg","3-2																															NEG"
"Massachusetts, Amherst BM",Emory CR,"Brandon Reynolds																																						Brendon Bankey																																						Kevin Hirn																																						Darcell Brown																																						Addison Wagner","Aff																															Neg																															Neg																															Neg																															Aff","3-2																															NEG"
Emory MP,Central Oklahoma HS - ONLINE,"David Rooney																																						Kenji Aoki																																						Brian DeLong																																						Dominik Lett																																						Justin Green","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Dartmouth DP - ONLINE,Northwestern DW,"Aaron Kall																																						Brandon Stras																																						Bryce Rao																																						Gabriel Morbeck																																						William Repko","Neg																															Neg																															Aff																															Neg																															Neg","4-1																															NEG"
Baylor DH,Harvard DF,"squid monteith																																						Nigel Taylor-Ward																																						Tyler Snelling																																						Douglas Husic																																						Beau Larsen","Aff																															Aff																															Neg																															Neg																															Neg","3-2																															NEG"
Wake Forest RT,,,Aff BYE,Aff BYE
Michigan State GlMe - ONLINE,,,Aff BYE,Aff BYE
Michigan PP,,,Aff BYE,Aff BYE
Emory GK,,,Aff BYE,Aff BYE
Jay-Z Flores,,,Aff BYE,Aff BYE
Wake Forest BD,,,Aff BYE,Aff BYE
Dartmouth SV - ONLINE,,,Aff BYE,Aff BYE
Michigan HR,,,Aff BYE,Aff BYE
Kansas MS,,,Aff BYE,Aff BYE
Eli T. Louis,,,Aff BYE,Aff BYE
Harvard DY,,,Aff BYE,Aff BYE
Georgetown GW,,,Aff BYE,Aff BYE
Georgetown LW,,,Aff BYE,Aff BYE
Southern California BS,,,Aff BYE,Aff BYE
Emory HL,,,Aff BYE,Aff BYE
Texas DK,,,Aff BYE,Aff BYE
