Aff,Neg,Judges,Votes,Win
UC Berkeley EE,Kansas MS,"David Cram Helwich																																						Valerie McIntosh																																						A J																																						Casey Harrigan																																						Bruce Najor","Aff																															Neg																															Neg																															Neg																															Neg","4-1																															NEG"
Michigan State GK,Minnesota PR,"Jasmine Stidham																																						Rebecca Steiner																																						Matt Coleman																																						Alaina Walberg																																						Michael Klinger","Aff																															Aff																															Aff																															Neg																															Aff","4-1																															AFF"
