Aff,Neg,Judges,Votes,Win
Liberty BL,Mary Washington BH,"Michael Souders																																						Danielle O'Gorman																																						Tom O'Gorman","Neg																															Neg																															Neg","3-0																															NEG"
Indiana MF,George Mason SR,"Gabe Lewis																																						Nick Ryan																																						Cody Crunkilton","Neg																															Neg																															Neg","3-0																															NEG"
