Aff,Neg,Judges,Votes,Win
Monmou CM,UniSta CC,"Michael Harrington																																						Jeremy santora																																						kate Marin","Neg																															Neg																															Neg","3-0																															NEG"
Monmou BL,UniSta KW,"Bradley Burns																																						Frank Irizarry																																						John Dellamore","Neg																															Neg																															Neg","3-0																															NEG"
UniSta MS,,,,
UniSta TM,,,,
