Aff,Neg,Judges,Votes,Win
WicSta HM,EmpSta KR,"Lindsey Shook																																						Grant Colquitt																																						Maria Keller","Aff																															Neg																															Neg","2-1																															NEG"
CenOkl HS,EmpSta SV,"Phillip Samuels																																						Brett Bricker																																						Max Reese","Neg																															Neg																															Aff","2-1																															NEG"
