Aff,Neg,Judges,Votes,Win
Navy CR,Wake Forest DP,"Adam Symonds																																						Valerie McIntosh																																						Adrienne Brovero","Neg																															Neg																															Aff","2-1																															NEG"
Harvard AB,Arizona State SS,"Squid Monteith																																						John Turner																																						David Sposito","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota DP,Michigan AO,"Tommy Jordan																																						Brian DeLong																																						Hunter McCullough","Aff																															Aff																															Aff","3-0																															AFF"
Southern California AB,Samford GP,"Gabriel Morbeck																																						Matthew Granstrom																																						Tripp Rebrovick","Aff																															Aff																															Aff","3-0																															AFF"
Emory RT,Kentucky AE,"Spencer Roetlin																																						Geoff Lundeen																																						Jeff Buntin","Neg																															Aff																															Aff","2-1																															AFF"
Minnesota HH,Gonzaga DW,"Terrell Taylor																																						Danielle O'Gorman																																						Manny Navarrete","Neg																															Neg																															Neg","3-0																															NEG"
Kentucky RS,,,,
West Georgia DK,,,,
