Aff,Neg,Judges,Votes,Win
James Madison BC,Macalester/Oakton Community KT,"Rob Glass																																						Michelle Thomas																																						Douglas Husic","Aff																															Aff																															Aff","3-0																															AFF"
Liberty DP,Houston LK,"Pablo Gannon																																						Lindsey Shook																																						Joe Patrice","Aff																															Neg																															Neg","2-1																															NEG"
Spiro Hoxha,Teddy Munson,"Ben Biggs																																						Nick Ryan																																						Will Baker","Neg																															Neg																															Neg","3-0																															NEG"
Houston LC,,,,
