Aff,Neg,Judges,Votes,Win
Liberty KH - ONLINE,George Mason PB - ONLINE,"Johnnie Stupek																																						Ross Fitzpatrick																																						Ryan Galloway","Aff																															Neg																															Neg","2-1																															NEG"
Samford HF - ONLINE,Liberty FS - ONLINE,"Tyler Vergho																																						Young Kwon																																						Carlos Astacio","Neg																															Neg																															Neg","3-0																															NEG"
Gonzaga CZ - ONLINE,Liberty CW - ONLINE,"Josiah Ferguson																																						Mikaela Malsin																																						Brandon Kelley","Neg																															Neg																															Neg","3-0																															NEG"
George Mason OD - ONLINE,Navy SS - ONLINE,"Jamie Davenport																																						Heather Hall																																						Austin Koort","Aff																															Aff																															Aff","3-0																															AFF"
