Aff,Neg,Judges,Votes,Win
Wake Forest DL,Michigan PD,"DavidMichael Woodward																																						Tripp Rebrovick																																						Nathan Davis","Neg																															Neg																															Neg","3-0																															NEG"
Emory KR,Harvard OG,"Deven Cooper																																						Adam Lipton																																						Alaina Walberg","Aff																															Aff																															Neg","2-1																															AFF"
