Aff,Neg,Judges,Votes,Win
CSU Long Beach OM,Michigan SS,"Ec Powers																																						Erik Mathis																																						Kwudjwa Osei","Neg																															Aff																															Aff","2-1																															AFF"
Macalester PK,Kansas SL,"Deven Cooper																																						Sam Gustavson																																						Kurt Fifelski","Aff																															Aff																															Neg","2-1																															AFF"
