Aff,Neg,Judges,Votes,Win
Nick Loew,Liberty RW,"Brian Klarman																																						Matthew Granstrom																																						Tim Freehan","Aff																															Aff																															Neg","2-1																															AFF"
Minnesota PR,Minnesota FP,,Minnesota PR advances,Minnesota PR advances
