Aff,Neg,Judges,Votes,Win
Liberty JP,Cal State Fullerton WG,"Rob Glass																																						Lindsey Shook																																						Grant Colquitt","Aff																															Neg																															Neg","2-1																															NEG"
James Madison BC,Spiro Hoxha,"Samantha Godbey																																						Kassie Colón																																						Ben Biggs","Aff																															Aff																															Neg","2-1																															AFF"
Michigan GT,Minnesota DR,"Jenna Bauer																																						Allison Harper																																						Young Kwon","Aff																															Aff																															Aff","3-0																															AFF"
Emory RW,Emporia State KR,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE"
