Aff,Neg,Judges,Votes,Win
Cal State Fullerton WG,Michigan GT,"Chris Loghry																																						Richard Garner																																						Eric Morris","Neg																															Neg																															Aff","2-1																															NEG"
Emporia State KR,James Madison BC,"Allison Harper																																						Ryan Galloway																																						Rebecca Steiner","Aff																															Aff																															Aff","3-0																															AFF"
