Aff,Neg,Judges,Votes,Win
UTD LP,Kansas YW,"Eric Morris																																						Lindsey Shook																																						Michael Waggoner","Neg																															Neg																															Neg","3-0																															NEG"
Oklahoma HS,Oklahoma WY,,Oklahoma HS advances,Oklahoma HS advances
