Aff,Neg,Judges,Votes,Win
Northern Iowa KB,Monmouth TT,"Brett Bricker																																						Dustyn Beutelspacher																																						Kaine Cherry","Neg																															Neg																															Neg","3-0																															NEG"
Monmouth BJ,Monmouth CR,,Monmouth BJ advances,Monmouth BJ advances
