Aff,Neg,Judges,Votes,Win
Michigan MM,Harvard BH,"Amar Adam																																						Lee Quinn																																						Christopher Callahan																																						Ian Dill																																						Mitch Hagney","Neg																															Neg																															Neg																															Neg																															Aff","4-1																															NEG"
Nikita Tanguturi,George Mason BG,"Alden Conner																																						Corey Fisher																																						Devane Murphy																																						Carlos Astacio																																						Azja Butler","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Michigan PR,Michigan State GK,"Dillon Johnson																																						Clayton Engelby																																						Josiah Ferguson																																						Jeff Buntin																																						Brett Bricker","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Dartmouth SV,Kansas SM,"Ruby Klein																																						Nathan Fleming																																						Kevin Hirn																																						Gabriel Jankovsky																																						Brandon Kelley","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Kansas BS,Northwestern DF,"Mikaela Malsin																																						Matt Coleman																																						Young Kwon																																						Spencer Roetlin																																						John Turner","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Dartmouth BC,Michigan PS,"Brad Meloche																																						Rebecca Steiner																																						Habiba Ahmed																																						Shannon Howley																																						Ned Gidley","Neg																															Neg																															Aff																															Aff																															Neg","3-2																															NEG"
Southern California AK,Wake Forest BT,"Emily Mendelson																																						Jefferson Yahom																																						Brian Rubaie																																						Jackie Poapst																																						Brianna Thomas","Aff																															Aff																															Neg																															Aff																															Neg","3-2																															AFF"
UC Berkeley EE,Emory GK,"Stephen Pipkin																																						Brandon Stras																																						Dallas Perkins																																						Kevin McCaffrey																																						Raam Tambe","Neg																															Neg																															Neg																															Aff																															Neg","4-1																															NEG"
