Aff,Neg,Judges,Votes,Win
Northwestern DF,Emory GK,"Ruby Klein																																						Dustin Meyers-Levy																																						Brandon Stras																																						Dallas Perkins																																						Michael Klinger","Aff																															Aff																															Aff																															Aff																															Neg","4-1																															AFF"
George Mason BG,Michigan PR,"Rebecca Steiner																																						Tripp Rebrovick																																						Marge Strong																																						Flynn Makuch																																						Alaina Walberg","Neg																															Aff																															Neg																															Neg																															Neg","4-1																															NEG"
