Aff,Neg,Judges,Votes,Win
Michigan PS,Emory GK,"Habiba Ahmed																																						Ruby Klein																																						Jeff Buntin																																						Ned Gidley																																						Raam Tambe","Neg																															Neg																															Aff																															Neg																															Neg","4-1																															NEG"
Dartmouth SV,George Mason BG,"Corey Fisher																																						Tripp Rebrovick																																						Kevin Hirn","Neg																															Neg																															Aff","2-1																															NEG"
Harvard BH,Michigan PR,"Mikaela Malsin																																						Shannon Howley																																						Brett Bricker																																						Christopher Callahan																																						Michael Klinger","Neg																															Aff																															Neg																															Neg																															Neg","4-1																															NEG"
Northwestern DF,Southern California AK,"Rebecca Steiner																																						Matt Coleman																																						John Turner																																						Devane Murphy																																						Jackie Poapst","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
