Aff,Neg,Judges,Votes,Win
West Point OS,UTD KS,"William Jensen																																						Will Baker																																						Jesse Smith","Neg																															Neg																															Neg","3-0																															NEG"
Houston KS,Trinity KP,"Jackson Posey																																						Solomon Watson																																						Colin Quinn","Neg																															Neg																															Aff","2-1																															NEG"
