Aff,Neg,Judges,Votes,Win
Georgetown LW,Michigan PP,"Carly Wunderlich																																						John Turner																																						Anthony Trufanov","Neg																															Neg																															Neg","3-0																															NEG"
Emory GK,Dartmouth BC,"Justin Green																																						Valerie McIntosh																																						Jeff Buntin","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest BD,Texas DK,"Bruce Najor																																						Tripp Rebrovick																																						Azja Butler","Aff																															Neg																															Neg","2-1																															NEG"
Wake Forest BR,Dartmouth SV,"John Nagy																																						Flynn Makuch																																						Kevin Hirn","Aff																															Neg																															Neg","2-1																															NEG"
