Aff,Neg,Judges,Votes,Win
George Mason SR,Indiana WF,"Lena Grossman																																						William Repko																																						Anthony Trufanov","Aff																															Aff																															Aff","3-0																															AFF"
Liberty CM,Liberty BT,,Liberty CM advances,Liberty CM advances
