Aff,Neg,Judges,Votes,Win
George Mason SR,Emory PX,"Matt Liu																																						Heather Hall																																						Michael Harrington","Aff																															Aff																															Aff","3-0																															AFF"
George Mason RK,Liberty BT,"squid monteith																																						Roberto Fernandez																																						Kristiana Baez","Neg																															Neg																															Aff","2-1																															NEG"
Liberty CM,Liberty LL,,Liberty CM advances,Liberty CM advances
Indiana WF,Indiana AM,,Indiana WF advances,Indiana WF advances
