Aff,Neg,Judges,Votes,Win
Benjy Haber-Fawcett,Samford MS,"Ruby Klein																																						Joseph Autry																																						Richard Garner","Neg																															Neg																															Neg","3-0																															NEG"
Emory/Navy VS,Liberty MS,"Lena Grossman																																						Thomas Buttgereit																																						Darcell Brown","Neg																															Neg																															Neg","3-0																															NEG"
Gonzaga MZ,Indiana KC,"Zahir Shaikh																																						Michael Hall																																						Emily Breeding","Aff																															Aff																															Aff","3-0																															AFF"
Kansas PH,Houston FD,"Kevin McCaffrey																																						Margaret Michels																																						Matthew Granstrom","Aff																															Aff																															Aff","3-0																															AFF"
Liberty DH,Liberty BS,,Liberty DH advances,Liberty DH advances
James Madison BM,James Madison PR,,James Madison BM advances,James Madison BM advances
Northwestern AL,,,,
Michigan State SZ,,,,
