Aff,Neg,Judges,Votes,Win
Michigan State MM,Kentucky AE,"Jackie Poapst																																						Shannon Howley																																						Becca Steiner","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth CG,George Mason RW,"David Griffith																																						William Repko																																						Josiah Ferguson","Aff																															Aff																															Neg","2-1																															AFF"
Kentucky RS,Liberty LC,"Nigel Taylor-Ward																																						Dimarvin Puerto																																						Michael Barlow","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State BS,George Mason DF,"Solomon Watson																																						Alex Sherman																																						Joe Patrice","Aff																															Neg																															Neg","2-1																															NEG"
Kentucky GS,James Madison MR,"Terrell Taylor																																						Addison Wagner																																						Brian DeLong","Aff																															Aff																															Aff","3-0																															AFF"
Navy CR,George Mason RR,"Bryce Rao																																						David Sposito																																						Patrick Waldinger","Aff																															Aff																															Neg","2-1																															AFF"
Emory PS,Texas AF,"Nick Loew																																						Jenny Vazquez Torres																																						Matt Coleman","Neg																															Neg																															Neg","3-0																															NEG"
Western Kentucky FC,Michigan DS,"Tom O'Gorman																																						Kevin McCaffrey																																						David Cram Helwich","Aff																															Neg																															Neg","2-1																															NEG"
