Aff,Neg,Judges,Votes,Win
Missouri State BD,North Texas VB - ONLINE,"jasmine stidham																																						Cade Blenden																																						Brendon Bankey","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State AS,Liberty EY,"Nick Loew																																						Jesse Smith																																						Ian Dill","Aff																															Aff																															Aff","3-0																															AFF"
