Aff,Neg,Judges,Votes,Win
Emory PL,Meichi Wu,"Tyler Thur																																						Anthony Trufanov																																						Arvind Shankar","Neg																															Aff																															Aff","2-1																															AFF"
Western Kentucky SS,Houston WD,"Carly Wunderlich																																						Dustin Meyers-Levy																																						Eric Morris","Neg																															Neg																															Neg","3-0																															NEG"
