Aff,Neg,Judges,Votes,Win
WicSta GM,KanSta SS,"Chris Loghry																																						Derek Hilligoss																																						Andrew StoutHart","Neg																															Neg																															Aff","2-1																															NEG"
MoState BG,WicSta MW,"James Taylor																																						Scott Elliott																																						Scott Harris","Neg																															Neg																															Neg","3-0																															NEG"
