Aff,Neg,Judges,Votes,Win
MoState AR,WicSta MW,"Alex McVey																																						Jared DeMunbrun																																						Scott Elliott","Neg																															Neg																															Neg","3-0																															NEG"
KanSta AD,MoState BG,"Shae Bunas																																						Scott Harris																																						Derek Hilligoss","Neg																															Aff																															Neg","2-1																															NEG"
Kansas DL,KanSta SS,"Phillip Samuels																																						Chris Loghry																																						Kristen StoutHart","Neg																															Neg																															Neg","3-0																															NEG"
WicSta GM,,,,
