Aff,Neg,Judges,Votes,Win
United States Military DS,Navy/Miami JR - ONLINE,"Ben Biggs																																						Ian Lowery																																						Lindsey Shook","Aff																															Aff																															Aff","3-0																															AFF"
Jay Fuchs,Liberty HM,"Danielle O'Gorman																																						Adrienne Brovero																																						Patrick Waldinger","Aff																															Aff																															Neg","2-1																															AFF"
George Mason BM - ONLINE,James Madison CR,"Judd Kimball																																						Joe Patrice																																						Heather Hall","Neg																															Neg																															Neg","3-0																															NEG"
James Madison OP,James Madison ZH,,James Madison OP advances,James Madison OP advances
