Aff,Neg,Judges,Votes,Win
Temitope Ogundare,Liberty SW,"Pablo Gannon																																						Pavan Reddy																																						Lindsey Shook","Neg																															Neg																															Aff","2-1																															NEG"
Eli T. Louis,Liberty RW,"Kathryn Rubino																																						Jackie Poapst																																						Will Baker","Neg																															Neg																															Neg","3-0																															NEG"
