Aff,Neg,Judges,Votes,Win
Spencer Anderson McElligott,UTD KS,"Clayton Engelby																																						Benjamin Williams																																						Matt Stannard","Neg																															Neg																															Neg","3-0																															NEG"
Wichita State CH,Minnesota PP,"Lauren Johnson																																						Gabby Knight																																						V Keenan - ONL","Neg																															Aff																															Neg","2-1																															NEG"
Benjy Haber-Fawcett,UTD ML,"Will Baker - ONL																																						Joe Getto																																						Matt Coleman","Aff																															Neg																															Neg","2-1																															NEG"
Macalester PW,,,,
