Aff,Neg,Judges,Votes,Win
New School KJ,Monmouth BB,"Maggie Pierce																																						Adam Lee - ONL																																						Josh Lamet - ONL","Neg																															Neg																															Neg","3-0																															NEG"
Monmouth GR,Monmouth BR,,Monmouth GR advances,Monmouth GR advances
NYU KT,,,,
New School GL,,,,
