Aff,Neg,Judges,Votes,Win
Monmouth BB,NYU KT,"Ryan Wash																																						Beau Larsen																																						Phillip Samuels","Neg																															Aff																															Neg","2-1																															NEG"
New School GL,Monmouth GR,"Lauren Johnson																																						Eric Maag																																						Gabby Knight","Aff																															Neg																															Aff","2-1																															AFF"
