Aff,Neg,Judges,Votes,Win
NYU Ciacciarelli & Teng,Boston College King & Sexton,"Eric Maag																																						Solomon Watson																																						Phillip Samuels","Neg																															Aff																															Aff","2-1																															AFF"
Boston College Conrad & Randolph,NYU Theiding & Toussaint,"Alex VanDyke																																						Ryan Wash																																						Beau Larsen","Neg																															Neg																															Neg","3-0																															NEG"
