Aff,Neg,Judges,Votes,Win
UTD ML,Macalester PW,"Alex VanDyke																																						Will Baker - ONL																																						Matt Stannard","Aff																															Aff																															Neg","2-1																															AFF"
Minnesota PP,UTD KS,"Evan Grisham																																						Adam Lee - ONL																																						V Keenan - ONL","Neg																															Neg																															Neg","3-0																															NEG"
