Aff,Neg,Judges,Votes,Win
Georgetown GW,Wake Forest TR,"Deven Cooper																																						Alaina Walberg																																						Jasmine Stidham","Neg																															Neg																															Aff","2-1																															NEG"
Kansas SP,Iowa CE,"DavidMichael Woodward																																						Gabe Lewis																																						Tripp Rebrovick","Aff																															Aff																															Neg","2-1																															AFF"
