Aff,Neg,Judges,Votes,Win
Michigan State GL,Macalester PK,"Brendon Bankey																																						Brett Bricker																																						Anthony Trufanov","Aff																															Aff																															Neg","2-1																															AFF"
Kansas RM,Wake Forest BM,"Carly Wunderlich																																						Jeff Buntin																																						Eugenia Giampetruzzi","Aff																															Aff																															Aff","3-0																															AFF"
Emory GH,Northwestern DR,"Adrienne Brovero																																						Brandon Kelley																																						Christopher Callahan","Aff																															Neg																															Aff","2-1																															AFF"
Michigan PB,Michigan ES,"Carly Wunderlich																																						Jeff Buntin																																						Eugenia Giampetruzzi","Aff																															Aff																															Aff","3-0																															AFF"
